arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1774831233243812096,2.169715,0.085802,2.255517,200
1774831233272849152,2.384765,0.103683,2.488448,200
1774831233295970816,2.208820,0.087452,2.296272,200
1774831233318202112,3.630183,0.144650,3.774833,200
1774831233360187136,2.198039,0.083431,2.281470,200
1774831233484772864,2.481627,0.087582,2.569209,200
1774831233591273984,2.260678,0.102983,2.363661,200
1774831233809639936,2.213631,0.083482,2.297113,200
1774831233826364928,2.197259,0.084521,2.281780,200
1774831233864065792,2.213621,0.249554,2.463175,200
1774831233902108928,2.125189,0.083431,2.208620,200
1774831233911813888,2.298142,0.109266,2.407408,200
1774831233980745984,2.130360,0.076410,2.206770,200
1774831233985054976,2.223132,0.061198,2.284330,200
1774831234010938880,2.221944,0.085608,2.307552,200
1774831234091939072,2.232366,0.099230,2.331596,200
1774831234170660096,2.104573,0.081107,2.185680,200
1774831234194475776,2.154818,0.095080,2.249898,200
1774831234296071168,2.194098,0.082313,2.276411,200
1774831234450117120,2.295937,0.102319,2.398256,200
1774831234462651904,2.288334,0.095808,2.384142,200
1774831234613492992,2.102872,0.080593,2.183465,200
1774831234732772096,2.219525,0.102709,2.322234,200
1774831234773967872,2.588779,0.142750,2.731529,200
1774831234809134848,2.527292,0.104740,2.632032,200
1774831235112688896,2.217899,0.080779,2.298678,200
1774831235165835008,2.141849,0.099355,2.241204,200
1774831235186428928,2.324375,0.085201,2.409576,200
1774831235190778880,2.337118,0.108817,2.445935,200
1774831235355546880,2.262589,0.082831,2.345420,200
1774831235447683072,2.683283,0.146696,2.829979,200
1774831235611469056,2.794571,0.109587,2.904158,200
1774831235743817984,2.248946,0.098674,2.347620,200
1774831235830759168,2.161054,0.091023,2.252077,200
1774831236180880128,2.364543,0.119136,2.483679,200
1774831236227451136,2.204158,0.088350,2.292508,200
1774831236324503808,3.018825,0.195732,3.214557,200
1774831236485323008,2.233914,0.089210,2.323124,200
1774831236581142784,2.482419,0.107253,2.589672,200
1774831236779185920,2.232355,0.084817,2.317172,200
1774831236863652864,2.319703,0.155354,2.475057,200
1774831236984983040,2.173281,0.079338,2.252619,200
1774831237013164032,2.460789,0.231393,2.692182,200
1774831237039846912,3.692994,0.160771,3.853765,200
1774831237082298880,3.536864,0.171182,3.708046,200
1774831237071380992,4.235327,0.162871,4.398198,200
1774831237098962944,3.827640,0.119842,3.947482,200
1774831237131987200,2.658617,0.126264,2.784881,200
1774831237113368064,4.169694,0.155079,4.324773,200
1774831237228593152,2.249038,0.105860,2.354898,200
1774831237273804800,2.437684,0.094248,2.531932,200
1774831237319580160,2.209581,0.102320,2.311901,200
1774831237344075008,2.191328,0.081325,2.272653,200
1774831237375844096,2.239596,0.087137,2.326733,200
1774831237664627200,2.182325,0.083476,2.265801,200
1774831237754343936,2.405378,0.104031,2.509409,200
1774831237866960128,2.177505,0.079035,2.256540,200
1774831237898246912,2.251239,0.120623,2.371862,200
1774831237996568064,2.886080,0.113009,2.999089,200
1774831238017957888,2.511241,0.220866,2.732107,200
1774831238063457024,2.354604,0.093126,2.447730,200
1774831238519367936,2.191687,0.101697,2.293384,200
1774831238620220928,3.802317,0.130911,3.933228,200
1774831238701662976,2.781266,0.127592,2.908858,200
1774831238815996928,2.260448,0.081794,2.342242,200
1774831239008980992,2.335354,0.165734,2.501088,200
1774831239150309120,2.174440,0.118527,2.292967,200
1774831239176420864,2.316731,0.111847,2.428578,200
1774831239196993024,2.286756,0.105636,2.392392,200
1774831239216739840,2.265464,0.108546,2.374010,200
1774831239247764992,2.508909,0.092554,2.601463,200
1774831239288461824,2.247161,0.099824,2.346985,200
1774831239557661952,2.180591,0.077571,2.258162,200
1774831239766489856,2.171300,0.097994,2.269294,200
1774831239818448128,2.144976,0.083942,2.228918,200
1774831239938056960,2.176562,0.098941,2.275503,200
1774831239985624064,2.787195,0.108781,2.895976,200
1774831240217745920,3.324878,0.167261,3.492139,200
1774831240278925824,2.611835,0.154871,2.766706,200
1774831240317587968,5.774202,0.130130,5.904332,200
1774831240354774016,3.821881,0.102590,3.924471,200
1774831240428544000,2.178202,0.084180,2.262382,200
1774831240450074880,3.416629,0.170681,3.587310,200
1774831240538220032,2.114302,0.086330,2.200632,200
1774831240765752064,2.127602,0.076450,2.204052,200
1774831240829158912,2.159512,0.078280,2.237792,200
1774831240847537920,2.183502,0.083941,2.267443,200
1774831241453774080,3.830028,0.159523,3.989551,200
1774831241518866176,5.209694,0.178189,5.387883,200
1774831241545336064,11.927983,0.110591,12.038574,200
1774831241552274944,3.913019,0.152933,4.065952,200
1774831241572238080,3.543611,0.123682,3.667293,200
1774831241660621824,3.523427,0.125886,3.649313,200
1774831241821388032,2.262723,0.104785,2.367508,200
1774831241852953856,2.246181,0.081020,2.327201,200
1774831241892231936,2.214827,0.080275,2.295102,200
1774831241934277888,2.119852,0.076984,2.196836,200
1774831242479016192,3.966910,0.166434,4.133344,200
1774831242541233152,2.782047,0.120857,2.902904,200
1774831242896192000,2.237872,0.095398,2.333270,200
1774831243093971968,2.162692,0.091867,2.254559,200
1774831243120980992,2.207516,0.080854,2.288370,200
1774831243245521920,2.158632,0.085990,2.244622,200
1774831243338084864,2.142999,0.079699,2.222698,200
1774831243415554048,2.224085,0.083818,2.307903,200
1774831243447020032,2.216116,0.088220,2.304336,200
1774831243550362112,2.908221,0.110173,3.018394,200
1774831243570210816,2.255634,0.095284,2.350918,200
1774831243637310976,3.830751,0.146577,3.977328,200
1774831243680968960,2.284181,0.099222,2.383403,200
1774831243987752960,2.318021,0.108748,2.426769,200
1774831244214070016,2.142727,0.078970,2.221697,200
1774831244234232064,2.276104,0.093541,2.369645,200
1774831244298297856,2.172371,0.187713,2.360084,200
1774831244318568960,2.233204,0.097538,2.330742,200
1774831244572261120,2.413075,0.101152,2.514227,200
1774831244773231872,2.295224,0.099997,2.395221,200
1774831244800167936,2.219055,0.081651,2.300706,200
1774831244902976000,2.168224,0.077905,2.246129,200
1774831244997401088,2.202722,0.091021,2.293743,200
1774831245016407040,2.292410,0.084882,2.377292,200
1774831245158235904,2.116819,0.078406,2.195225,200
1774831245235536128,2.159415,0.078577,2.237992,200
1774831245402757888,2.119539,0.078276,2.197815,200
1774831245482435072,3.321955,0.125208,3.447163,200
1774831245482189824,3.730428,0.136760,3.867188,200
1774831245509576192,3.236051,0.105807,3.341858,200
1774831245529539072,2.220006,0.086767,2.306773,200
1774831245769052928,2.547985,0.149728,2.697713,200
1774831245981916928,2.469438,0.121394,2.590832,200
1774831246158701056,2.602591,0.120064,2.722655,200
1774831246195017216,2.192215,0.079747,2.271962,200
1774831246212577024,2.121650,0.080818,2.202468,200
1774831246428260096,2.229054,0.100211,2.329265,200
1774831246705550080,2.844035,0.092507,2.936542,200
1774831246720087040,3.200899,0.121599,3.322498,200
1774831246781661952,2.168570,0.083097,2.251667,200
1774831246800721920,2.267457,0.111518,2.378975,200
1774831246931635968,2.188986,0.081230,2.270216,200
1774831247077502976,3.764086,0.161303,3.925389,200
1774831247102465024,2.324531,0.119356,2.443887,200
1774831247155343104,2.172575,0.080335,2.252910,200
1774831247235384832,2.393134,0.097273,2.490407,200
1774831247266146816,2.191438,0.116988,2.308426,200
1774831247472086784,2.329766,0.096942,2.426708,200
1774831247527270144,2.861340,0.112546,2.973886,200
1774831247550887936,2.354315,0.120077,2.474392,200
1774831247628653056,2.206811,0.151065,2.357876,200
1774831247759808000,2.177037,0.169235,2.346272,200
1774831247781596928,2.395882,0.164593,2.560475,200
1774831247832204032,2.135981,0.077749,2.213730,200
1774831248368212992,2.275016,0.108377,2.383393,200
